entity	type	rank_sampling	rank_passive	rank_diff	upgrade_score
Division_No._11,_Alberta	wordnet_administrative_district_108491826	16329	1	16328	16328.0
Gmina_Tarnawatka	wordnet_administrative_district_108491826	4982	1	4981	4981.0
Fluminense_F.C.	wikicat_Football_clubs_in_Rio_de_Janeiro_(city)	4027	5	4022	804.4
Orange_County_(Florida)	wordnet_county_108546183	696	1	695	695.0
Unión_Española	wordnet_club_108227214	384	1	383	383.0
SC_Heerenveen	wordnet_club_108227214	331	2	329	164.5
Herfølge_Boldklub	wikicat_Football_clubs_in_Denmark	308	2	306	153.0
Otago	wordnet_administrative_district_108491826	14439	119	14320	120.33613445378151
Boxer_Rebellion	wordnet_conflict_100958896	121	1	120	120.0
Confederation_of_the_Rhine	wordnet_country_108544813	227	2	225	112.5
Cienciano	wordnet_club_108227214	224	2	222	111.0
Adanaspor	wordnet_club_108227214	99	1	98	98.0
Ronald_Arana	wikicat_Club_Bolívar_players	5268	55	5213	94.78181818181818
Mersin_İdmanyurdu_SK	wikicat_Football_clubs_in_Turkey	4750	50	4700	94.0
Oxford,_Ohio	wikicat_Cities_in_Ohio	84	1	83	83.0
Damián_Manso	wikicat_Monarcas_Morelia_footballers	406	5	401	80.2
F.C._Arouca	wikicat_Football_clubs_in_Portugal	641	8	633	79.125
Dungannon_Swifts_F.C.	wikicat_Association_football_clubs_established_in_1949	3544	50	3494	69.88
Videoton_FC	wikicat_Football_clubs_in_Hungary	11530	172	11358	66.03488372093024
SC_Telstar	wikicat_Association_football_clubs_established_in_1963	15054	225	14829	65.90666666666667
Settling_Accounts	wordnet_conflict_100958896	133	2	131	65.5
III._Kerületi_TUE	wikicat_Association_football_clubs_established_in_1887	8446	134	8312	62.02985074626866
Wycombe_Wanderers_F.C.	wikicat_Fan-owned_English_League_football_clubs	45	1	44	44.0
Singapore	wikicat_Port_cities	16984	378	16606	43.93121693121693
Sétif_Province	wordnet_administrative_district_108491826	1899	44	1855	42.15909090909091
Keeneland	wordnet_racetrack_104037625	129	3	126	42.0
Clube_Atlético_Juventus	wordnet_club_108227214	205	5	200	40.0
