Andrey_Yeshchenko	wikicat_Russian_footballers 10
Daniel_Pendín	wikicat_Expatriate_footballers_in_Spain 6
Turkey	wikicat_Middle_Eastern_countries 2
Edinburgh	wordnet_administrative_district_108491826 96
Bangladesh	wikicat_Countries 1
Andrzej_Bledzewski	wikicat_Living_people 1
Kalusha_Bwalya	wikicat_Cercle_Brugge_K.S.V._players 735
Kamloops_Blazers	wikicat_Sports_clubs_established_in_1981 970
Derek_Yee	wikicat_Hong_Kong_people_of_Manchu_descent 3
George_Gebro	wikicat_Hapoel_Petah_Tikva_F.C._players 49
Marin_Petrov	wikicat_Bulgarian_A_Professional_Football_Group_players 1
L.A._Reid	wikicat_Reality_television_judges 2790
Suat_Usta	wikicat_Turkish_footballers 1
Haile_Selassie_I_of_Ethiopia	wikicat_Chief_Commanders_of_the_Legion_of_Merit 7186
Thom_Yorke	wikicat_People_educated_at_Abingdon_School 11823
Carl_Airey	wikicat_The_Football_League_players 1
Wheeling,_West_Virginia	wikicat_Former_United_States_state_capitals 2835
Lionel_Messi	wikicat_2011_Copa_América_players 19
Glen_Moss	wikicat_FC_Dinamo_București_players 7181
Steven_Spielberg	wikicat_American_people 1
Norman_Foster_(director)	wikicat_American_male_film_actors 1
Maggie_Gyllenhaal	wikicat_21st-century_American_actresses 4
George_Best	wikicat_Expatriate_soccer_players_in_South_Africa 4
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players 4668
Pernik	wordnet_administrative_district_108491826 1
Neustrelitz	wikicat_Municipalities_in_Mecklenburg-Vorpommern 1
George_R._R._Martin	wikicat_American_television_producers 3
Immanuel_Kant	wikicat_Ethnic_German_people 1
George_Abbott	wikicat_American_male_stage_actors 156
Harlow	wikicat_Local_government_districts_of_the_East_of_England 11
Dean_Gordon	wikicat_People_from_Croydon 493
François_Remetter	wikicat_French_footballers 9
Bath_City_F.C.	wikicat_Southern_Football_League_clubs 56
Université_libre_de_Bruxelles	wordnet_university_108286569 1
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom 12022
Fritz_Lang	wikicat_People_who_emigrated_to_escape_Nazism 53
Portland_Pride	wordnet_club_108227214 1422
Steven_Weinberg	wikicat_Jewish_physicists 1
Port-au-Prince	wikicat_Port_cities_in_the_Caribbean 1
Edward_Witten	wikicat_20th-century_physicists 1
Ballon_d'Or_(1956–2009)	wordnet_award_106696483 16
Mike_Pollitt	wikicat_Bury_F.C._players 86
Jean-Paul_Sartre	wikicat_French_novelists 15
Raoul_Bott	wikicat_Carnegie_Mellon_University_alumni 178
Matthew_Broderick	wikicat_American_people_of_British_descent 31
S.S._Lazio	wikicat_Publicly_traded_sports_companies 633
Zlatko_Yankov	wikicat_1994_FIFA_World_Cup_players 1
Alexandre_Lopes	wikicat_FC_Spartak_Moscow_players 2973
Georg_Wilhelm_Friedrich_Hegel	wikicat_German_logicians 47
Bozhidar_Iskrenov	wikicat_PFC_Levski_Sofia_players 7
Robert_Jarni	wikicat_UEFA_Euro_1996_players 2
Dave_Mitchell_(footballer)	wikicat_Australian_expatriates_in_Turkey 1
Bridge_Boys_F.C.	wikicat_Sports_clubs_in_Nigeria 2
Syangja_District	wikicat_Districts_of_Nepal 2
FremantleMedia	wikicat_Companies_of_the_United_Kingdom 6048
Sylvia_Plath	wikicat_American_diarists 12474
Francis_Bacon	wikicat_Empiricists 4
Greenock_Morton_F.C.	wikicat_Football_clubs_in_Scotland 1
Jackass_Number_Two	wikicat_2006_films 746
Michael_Nyman	wikicat_Postmodern_composers 14077
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939 6458
Dune_(film)	wikicat_Space_adventure_films 1617
Daryl_Taylor	wikicat_Walsall_F.C._players 70
Adam_Rooney	wikicat_Scottish_Football_League_players 24
Danny_Califf	wikicat_LA_Galaxy_players 101
Greifswald	wikicat_Port_cities 114
Västra_Götaland_County	wikicat_Provinces_of_Sweden 67
Vietnam	wikicat_Socialist_states 1
Hristo_Stoichkov	wikicat_Bulgarian_expatriates_in_Spain 1
Roald_Dahl	wikicat_British_people_of_World_War_II 266
Thespakusatsu_Gunma	wikicat_Football_clubs_in_Japan 1
Eric_Clapton	wikicat_Blues_guitarists 13039
Bernard_Hill	wikicat_English_stage_actors 1
Santos_FC_(women)	wordnet_club_108227214 1
Delron_Buckley	wikicat_Borussia_Dortmund_II_players 1601
Michael_Hughes_(footballer)	wikicat_People_from_Larne 10127
Lublin_County	wikicat_Counties_of_Poland 6
Søren_Larsen	wikicat_Brøndby_IF_players 84
Vladan_Milovanović	wikicat_SC_Austria_Lustenau_players 319
Velletri	wikicat_Cities_and_towns_in_Italy 6
Patricia_Neal	wikicat_American_actresses 1
Aleksandar_Trišović	wikicat_FC_Metalist_Kharkiv_players 22
Steven_Tyler	wikicat_American_people_of_German_descent 20
Mato_Neretljak	wikicat_Living_people 1
Birmingham_City_F.C.	wikicat_Premier_League_clubs 1
Mike_Pollitt	wikicat_Burnley_F.C._players 109
James_Watson	wikicat_Nobel_laureates_in_Physiology_or_Medicine 1252
S.V._Zulte_Waregem	wikicat_Association_football_clubs_established_in_2001 973
Dan_Eggen	wikicat_Norwegian_football_managers 34
Sullivan_County,_Missouri	wikicat_Missouri_counties 4
Bournemouth	wordnet_site_108651247 1
Adam_Smith	wikicat_Scottish_people 7
Allen_Ginsberg	wikicat_Jewish_anarchists 1
Gilbert_Bodart	wikicat_Belgium_international_footballers 13
Nancy_Sinatra	wikicat_Living_people 1
Serhiy_Rozhok	wikicat_FC_Kryvbas_Kryvyi_Rih_players 19
Darren_Mansaram	wikicat_Armthorpe_Welfare_F.C._players 610
Warsaw	wordnet_administrative_district_108491826 1
Terrel_Castle	wikicat_American_expatriate_basketball_people_in_Spain 2
Porto-Novo	wikicat_Capitals 44
Teenage_Mutant_Ninja_Turtles_(film_series)	wikicat_Films_featuring_anthropomorphic_characters 63
The_Story_of_Alexander_Graham_Bell	wikicat_English-language_films 4
Walt_Disney	wikicat_American_people_of_Irish_descent 6
Karl_Marx	wikicat_English_philosophers 63
Dune_(film)	wikicat_American_films 2
Jack_Cork	wikicat_England_under-21_international_footballers 5
Neil_Wood	wikicat_Expatriate_footballers_in_Bosnia_and_Herzegovina 359
Turek_County	wikicat_Land_counties_of_Greater_Poland_Voivodeship 1
Mort_Shuman	wikicat_Jewish_American_musicians 26
George_Dantzig	wikicat_American_operations_researchers 13
Columbus,_Ohio	wikicat_Planned_cities_in_the_United_States 207
Sewickley,_Pennsylvania	wikicat_Pennsylvania_populated_places_on_the_Ohio_River 8221
Castile-La_Mancha	wikicat_NUTS_2_statistical_regions_of_the_European_Union 1
Frederik_Pohl	wikicat_English-language_writers 2
Roy_Scheider	wikicat_Rutgers_University_alumni 3952
French_language	wikicat_Languages_of_Lebanon 21
Franco_Da_Dalt	wikicat_A.S._Varese_1910_players 535
Andrej_Hesek	wikicat_FK_Senica_players 8836
Chien-Shiung_Wu	wikicat_20th-century_women 50
Mauricio_Hanuch	wikicat_Estudiantes_de_La_Plata_footballers 1
Belgium	wikicat_French-speaking_countries_and_territories 1
Irvine,_North_Ayrshire	wikicat_Ports_and_harbours_of_Scotland 3
Georges_Bataille	wikicat_French_philosophers 2
Wydad_Casablanca	wikicat_Football_clubs_in_Morocco 24
Tanya_Tucker	wordnet_artist_109812338 5
Williams_Martínez	wikicat_Expatriate_footballers_in_France 4
Waupaca_County,_Wisconsin	wordnet_county_108546183 1
Ludwig_Boltzmann	wikicat_Scientists_who_committed_suicide 7265
Alex_Revell	wikicat_Rotherham_United_F.C._players 3
Nikola_Jozić	wikicat_Eintracht_Frankfurt_players 143
Moscow	wikicat_Special_Economic_Zones 12
Krunoslav_Lovrek	wikicat_Croatian_expatriate_footballers 1
Ian_Thomas-Moore	wikicat_Burnley_F.C._players 84
Eduardo_Costa	wikicat_People_from_Rio_Grande_do_Sul 2
Abia_State	wikicat_States_in_Igboland 1
Dennis_Lehane	wikicat_American_crime_fiction_writers 2
Mexico_national_under-23_football_team	wikicat_National_sports_teams_of_Mexico 25
Beaufort,_South_Carolina	wikicat_Populated_places_in_Beaufort_County,_South_Carolina 9045
Nick_Cave	wikicat_Alternative_rock_musicians 1860
Inter_Milan	wikicat_Unrelegated_association_football_clubs 43
Dublin	wikicat_Towns_and_villages_in_County_Dublin 420
Borough_of_Fylde	wordnet_administrative_district_108491826 4
Oleg_Veretennikov	wikicat_FC_Rotor_Volgograd_players 7
Prince_Philip,_Duke_of_Edinburgh	wikicat_British_people_of_German_descent 14729
Belo_Horizonte	wikicat_Populated_places_established_in_1701 1059
Germany	wikicat_Federal_countries 15
Anel_Canales	wikicat_Association_football_forwards 1
Order_of_the_Star_of_Italian_Solidarity	wikicat_Awards_established_in_1947 4378
Ahmed_Deen	wikicat_Bishop's_Stortford_F.C._players 379
fr/Avenir_sportif_de_La_Marsa_(football)	wikicat_Football_clubs_in_Tunisia 6016
Sociedade_Esportiva_do_Gama	wikicat_Football_clubs_in_Brazil 6
Palm_Springs,_California	wikicat_Incorporated_cities_and_towns_in_California 52
Nikopol,_Ukraine	wikicat_Cities_in_Dnipropetrovsk_Oblast 8
Bruno_Rodriguez	wikicat_AC_Ajaccio_players 50
Roger_Glover	wikicat_Heavy_metal_bass_guitarists 12408
Zacatepec	wikicat_Ascenso_MX_teams 7
Gyula_Lóránt	wikicat_20th-century_Hungarian_people 9599
William_Maxwell_(footballer)	wikicat_Belgium_national_football_team_managers 11669
Dario_Smoje	wikicat_Superleague_Greece_players 2
The_Lion_King	wikicat_Films_about_apes 129
Hugo_Carreira	wikicat_Expatriate_footballers_in_China 1
Gmina_Szelków	wordnet_administrative_district_108491826 485
Rodney_Bush	wikicat_Scottish_Football_League_players 101
Melissa_Tancredi	wikicat_Saint_Louis_Athletica_players 7895
Steve_Bowey	wikicat_Living_people 1
Clonmel	wikicat_Towns_and_villages_in_County_Tipperary 36
Ludwig_von_Mises	wikicat_Libertarian_theorists 254
Vanče_Šikov	wikicat_Macedonia_international_footballers 8
Aaran_Lines	wikicat_SV_Werder_Bremen_II_players 3782
Romy_Schneider	wikicat_Actresses_from_Vienna 10089
Jonathan_Lethem	wikicat_Writers_from_New_York 30
Union_Douala	wikicat_Football_clubs_in_Cameroon 1
Kevin_Bacon	wikicat_American_actors 1
David_Bohm	wikicat_Jewish_agnostics 50
Wolverhampton	wikicat_Metropolitan_boroughs 10
Jonathan_Lethem	wikicat_Postmodern_writers 4
Paulo_Figueiredo	wikicat_People_from_Luanda 2
Roald_Dahl	wikicat_British_aviators 11281
Olivia_Newton-John	wikicat_British_actors 365
Neustrelitz	wikicat_Towns_in_Mecklenburg-Vorpommern 1
Thelma_Schoonmaker	wikicat_Living_people 1
Gmina_Tarnawatka	wordnet_administrative_district_108491826 2435
Kelvin_Jack	wikicat_Association_football_goalkeepers 9
Matthew_Broderick	wikicat_People_from_New_York_City 3
Taiyuan	wikicat_Populated_places_established_in_the_1st_millennium_BC 10400
Cristiano_Ávalos	wikicat_Expatriate_footballers_in_South_Korea 1
Alice_Munro	wikicat_Canadian_novelists 13584
Mitt_Romney	wikicat_Massachusetts_politicians 63
Alfonso_Blanco_Antúnez	wikicat_Mexican_footballers 20
East_Carolina_University	wikicat_Universities_and_colleges_in_North_Carolina 5
Cameroon_national_football_team	wordnet_football_team_108080025 3
Bob_Hope	wikicat_Comedians 18
Paulo_Sérgio_Moreira_Gonçalves	wikicat_Estrela_da_Amadora_players 12
C._S._Lewis	wikicat_Science_fiction_writers 122
Kung_Fu_Panda	wikicat_Paramount_Pictures_films 1
FC_Botoșani	wikicat_Football_clubs_in_Romania 1
Alan_Ladd	wikicat_People_from_Hot_Springs,_Arkansas 9938
Yuriy_Moroz	wikicat_Living_people 1
Pascal_Zuberbühler	wikicat_Fulham_F.C._players 1
Islamabad	wikicat_Planned_capitals 12
Ipswich_Town_F.C.	wikicat_Football_League_Championship_clubs 34
Paul_Simpson_(footballer)	wikicat_Stockport_County_F.C._managers 522
George_Dantzig	wikicat_American_computer_scientists 115
Mircea_Eliade	wikicat_Romanian_biographers 18
Delta_Goodrem	wikicat_Singers_from_Sydney 7269
University_of_Bristol	wikicat_Organizations_established_in_1909 8117
Nainital_district	wikicat_Districts_of_Uttarakhand 1
California_State_University,_Long_Beach	wordnet_university_108286569 45
Warsaw_West_County	wikicat_Land_counties_of_Masovian_Voivodeship 17
CD_Numancia	wikicat_Multi-sport_clubs_in_Spain 11
Royal_Medal	wikicat_Biology_awards 58
Portland,_Oregon	wikicat_Populated_places_on_the_Columbia_River 183
Phil_Keaggy	wikicat_American_male_singers 1
Vanuatu	wikicat_Island_countries 2
Nicolás_Muñoz	wikicat_Association_football_forwards 28
Osnabrück	wikicat_Districts_of_Lower_Saxony 1
Joseph_Stiglitz	wikicat_Academics_of_the_University_of_Manchester 1623
Iván_Obolo	wikicat_Expatriate_footballers_in_Italy 5
Oxford,_Ohio	wikicat_Cities_in_Ohio 35
War_of_the_Austrian_Succession	wikicat_Wars_involving_Russia 1
Mark_Crossley	wikicat_Living_people 1
David_Cassidy	wikicat_American_television_actors 5
Luke_Corbett	wikicat_Living_people 1
Heiðar_Helguson	wikicat_Fulham_F.C._players 40
Hichem_Mezaïr	wikicat_WA_Tlemcen_players 9042
Elmore_Leonard	wikicat_American_writers 1
Carl_Friedrich_Gauss	wikicat_Statisticians 3844
Tony_Sealy	wikicat_The_Football_League_players 1
Jari_Litmanen	wikicat_Premier_League_players 40
Nelson_Mandela	wikicat_Marxist_writers 876
Bruno_Pereirinha	wikicat_S.S._Lazio_players 7
Bill_Evans	wikicat_Riverside_Records_artists 12736
David_Seaman	wikicat_English_footballers 1
Michele_Fini	wikicat_A.C._Siena_players 141
Captain_Beefheart	wikicat_Songwriters_from_California 213
Bolton_Wanderers_F.C.	wikicat_Association_football_clubs_established_in_1874 222
Pierre_Pflimlin	wikicat_Government_ministers_of_France 4
Milford,_Delaware	wikicat_Cities_in_Delaware 8177
