Andrey_Yeshchenko	wikicat_Russian_footballers 1
Daniel_Pendín	wikicat_Expatriate_footballers_in_Spain 8
Turkey	wikicat_Middle_Eastern_countries 2
Edinburgh	wordnet_administrative_district_108491826 2
Bangladesh	wikicat_Countries 1
Andrzej_Bledzewski	wikicat_Living_people 1
Kalusha_Bwalya	wikicat_Cercle_Brugge_K.S.V._players 1011
Kamloops_Blazers	wikicat_Sports_clubs_established_in_1981 1834
Derek_Yee	wikicat_Hong_Kong_people_of_Manchu_descent 2
George_Gebro	wikicat_Hapoel_Petah_Tikva_F.C._players 1247
Marin_Petrov	wikicat_Bulgarian_A_Professional_Football_Group_players 1
L.A._Reid	wikicat_Reality_television_judges 2632
Suat_Usta	wikicat_Turkish_footballers 1
Haile_Selassie_I_of_Ethiopia	wikicat_Chief_Commanders_of_the_Legion_of_Merit 11440
Thom_Yorke	wikicat_People_educated_at_Abingdon_School 7935
Carl_Airey	wikicat_The_Football_League_players 3
Wheeling,_West_Virginia	wikicat_Former_United_States_state_capitals 9
Lionel_Messi	wikicat_2011_Copa_América_players 22
Glen_Moss	wikicat_FC_Dinamo_București_players 12736
Steven_Spielberg	wikicat_American_people 1
Norman_Foster_(director)	wikicat_American_male_film_actors 1
Maggie_Gyllenhaal	wikicat_21st-century_American_actresses 5
George_Best	wikicat_Expatriate_soccer_players_in_South_Africa 2
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players 7577
Pernik	wordnet_administrative_district_108491826 1
Neustrelitz	wikicat_Municipalities_in_Mecklenburg-Vorpommern 1
George_R._R._Martin	wikicat_American_television_producers 1
Immanuel_Kant	wikicat_Ethnic_German_people 1
George_Abbott	wikicat_American_male_stage_actors 58
Harlow	wikicat_Local_government_districts_of_the_East_of_England 2
Dean_Gordon	wikicat_People_from_Croydon 422
François_Remetter	wikicat_French_footballers 28
Bath_City_F.C.	wikicat_Southern_Football_League_clubs 14
Université_libre_de_Bruxelles	wordnet_university_108286569 1
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom 8569
Fritz_Lang	wikicat_People_who_emigrated_to_escape_Nazism 8
Portland_Pride	wordnet_club_108227214 61
Steven_Weinberg	wikicat_Jewish_physicists 5
Port-au-Prince	wikicat_Port_cities_in_the_Caribbean 1
Edward_Witten	wikicat_20th-century_physicists 1
Ballon_d'Or_(1956–2009)	wordnet_award_106696483 15
Mike_Pollitt	wikicat_Bury_F.C._players 118
Jean-Paul_Sartre	wikicat_French_novelists 95
Raoul_Bott	wikicat_Carnegie_Mellon_University_alumni 521
Matthew_Broderick	wikicat_American_people_of_British_descent 95
S.S._Lazio	wikicat_Publicly_traded_sports_companies 19
Zlatko_Yankov	wikicat_1994_FIFA_World_Cup_players 1
Alexandre_Lopes	wikicat_FC_Spartak_Moscow_players 1171
Georg_Wilhelm_Friedrich_Hegel	wikicat_German_logicians 10
Bozhidar_Iskrenov	wikicat_PFC_Levski_Sofia_players 2
Robert_Jarni	wikicat_UEFA_Euro_1996_players 8
Dave_Mitchell_(footballer)	wikicat_Australian_expatriates_in_Turkey 1
Bridge_Boys_F.C.	wikicat_Sports_clubs_in_Nigeria 2
Syangja_District	wikicat_Districts_of_Nepal 1
FremantleMedia	wikicat_Companies_of_the_United_Kingdom 11191
Sylvia_Plath	wikicat_American_diarists 10425
Francis_Bacon	wikicat_Empiricists 12
Greenock_Morton_F.C.	wikicat_Football_clubs_in_Scotland 1
Jackass_Number_Two	wikicat_2006_films 744
Michael_Nyman	wikicat_Postmodern_composers 9347
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939 1486
Dune_(film)	wikicat_Space_adventure_films 59
Daryl_Taylor	wikicat_Walsall_F.C._players 28
Adam_Rooney	wikicat_Scottish_Football_League_players 36
Danny_Califf	wikicat_LA_Galaxy_players 35
Greifswald	wikicat_Port_cities 7
Västra_Götaland_County	wikicat_Provinces_of_Sweden 39
Vietnam	wikicat_Socialist_states 1
Hristo_Stoichkov	wikicat_Bulgarian_expatriates_in_Spain 1
Roald_Dahl	wikicat_British_people_of_World_War_II 68
Thespakusatsu_Gunma	wikicat_Football_clubs_in_Japan 1
Eric_Clapton	wikicat_Blues_guitarists 10690
Bernard_Hill	wikicat_English_stage_actors 1
Santos_FC_(women)	wordnet_club_108227214 1
Delron_Buckley	wikicat_Borussia_Dortmund_II_players 289
Michael_Hughes_(footballer)	wikicat_People_from_Larne 9368
Lublin_County	wikicat_Counties_of_Poland 5
Søren_Larsen	wikicat_Brøndby_IF_players 28
Vladan_Milovanović	wikicat_SC_Austria_Lustenau_players 6168
Velletri	wikicat_Cities_and_towns_in_Italy 49
Patricia_Neal	wikicat_American_actresses 1
Aleksandar_Trišović	wikicat_FC_Metalist_Kharkiv_players 33
Steven_Tyler	wikicat_American_people_of_German_descent 4
Mato_Neretljak	wikicat_Living_people 1
Birmingham_City_F.C.	wikicat_Premier_League_clubs 1
Mike_Pollitt	wikicat_Burnley_F.C._players 18
James_Watson	wikicat_Nobel_laureates_in_Physiology_or_Medicine 1833
S.V._Zulte_Waregem	wikicat_Association_football_clubs_established_in_2001 865
Dan_Eggen	wikicat_Norwegian_football_managers 73
Sullivan_County,_Missouri	wikicat_Missouri_counties 8
Bournemouth	wordnet_site_108651247 1
Adam_Smith	wikicat_Scottish_people 4
Allen_Ginsberg	wikicat_Jewish_anarchists 1
Gilbert_Bodart	wikicat_Belgium_international_footballers 9
Nancy_Sinatra	wikicat_Living_people 1
Serhiy_Rozhok	wikicat_FC_Kryvbas_Kryvyi_Rih_players 3
Darren_Mansaram	wikicat_Armthorpe_Welfare_F.C._players 577
Warsaw	wordnet_administrative_district_108491826 1
Terrel_Castle	wikicat_American_expatriate_basketball_people_in_Spain 9
Porto-Novo	wikicat_Capitals 143
Teenage_Mutant_Ninja_Turtles_(film_series)	wikicat_Films_featuring_anthropomorphic_characters 15
The_Story_of_Alexander_Graham_Bell	wikicat_English-language_films 4
Walt_Disney	wikicat_American_people_of_Irish_descent 10
Karl_Marx	wikicat_English_philosophers 13
Dune_(film)	wikicat_American_films 2
Jack_Cork	wikicat_England_under-21_international_footballers 12
Neil_Wood	wikicat_Expatriate_footballers_in_Bosnia_and_Herzegovina 29
Turek_County	wikicat_Land_counties_of_Greater_Poland_Voivodeship 1
Mort_Shuman	wikicat_Jewish_American_musicians 29
George_Dantzig	wikicat_American_operations_researchers 9
Columbus,_Ohio	wikicat_Planned_cities_in_the_United_States 34
Sewickley,_Pennsylvania	wikicat_Pennsylvania_populated_places_on_the_Ohio_River 2418
Castile-La_Mancha	wikicat_NUTS_2_statistical_regions_of_the_European_Union 1
Frederik_Pohl	wikicat_English-language_writers 5
Roy_Scheider	wikicat_Rutgers_University_alumni 9931
French_language	wikicat_Languages_of_Lebanon 5
Franco_Da_Dalt	wikicat_A.S._Varese_1910_players 246
Andrej_Hesek	wikicat_FK_Senica_players 4027
Chien-Shiung_Wu	wikicat_20th-century_women 30
Mauricio_Hanuch	wikicat_Estudiantes_de_La_Plata_footballers 1
Belgium	wikicat_French-speaking_countries_and_territories 1
Irvine,_North_Ayrshire	wikicat_Ports_and_harbours_of_Scotland 5
Georges_Bataille	wikicat_French_philosophers 2
Wydad_Casablanca	wikicat_Football_clubs_in_Morocco 37
Tanya_Tucker	wordnet_artist_109812338 2
Williams_Martínez	wikicat_Expatriate_footballers_in_France 3
Waupaca_County,_Wisconsin	wordnet_county_108546183 1
Ludwig_Boltzmann	wikicat_Scientists_who_committed_suicide 10822
Alex_Revell	wikicat_Rotherham_United_F.C._players 124
Nikola_Jozić	wikicat_Eintracht_Frankfurt_players 262
Moscow	wikicat_Special_Economic_Zones 18
Krunoslav_Lovrek	wikicat_Croatian_expatriate_footballers 10
Ian_Thomas-Moore	wikicat_Burnley_F.C._players 33
Eduardo_Costa	wikicat_People_from_Rio_Grande_do_Sul 1
Abia_State	wikicat_States_in_Igboland 1
Dennis_Lehane	wikicat_American_crime_fiction_writers 3
Mexico_national_under-23_football_team	wikicat_National_sports_teams_of_Mexico 403
Beaufort,_South_Carolina	wikicat_Populated_places_in_Beaufort_County,_South_Carolina 3108
Nick_Cave	wikicat_Alternative_rock_musicians 458
Inter_Milan	wikicat_Unrelegated_association_football_clubs 9
Dublin	wikicat_Towns_and_villages_in_County_Dublin 6504
Borough_of_Fylde	wordnet_administrative_district_108491826 3
Oleg_Veretennikov	wikicat_FC_Rotor_Volgograd_players 12
Prince_Philip,_Duke_of_Edinburgh	wikicat_British_people_of_German_descent 8410
Belo_Horizonte	wikicat_Populated_places_established_in_1701 2616
Germany	wikicat_Federal_countries 6
Anel_Canales	wikicat_Association_football_forwards 1
Order_of_the_Star_of_Italian_Solidarity	wikicat_Awards_established_in_1947 1159
Ahmed_Deen	wikicat_Bishop's_Stortford_F.C._players 390
fr/Avenir_sportif_de_La_Marsa_(football)	wikicat_Football_clubs_in_Tunisia 1186
Sociedade_Esportiva_do_Gama	wikicat_Football_clubs_in_Brazil 77
Palm_Springs,_California	wikicat_Incorporated_cities_and_towns_in_California 6
Nikopol,_Ukraine	wikicat_Cities_in_Dnipropetrovsk_Oblast 12
Bruno_Rodriguez	wikicat_AC_Ajaccio_players 33
Roger_Glover	wikicat_Heavy_metal_bass_guitarists 11555
Zacatepec	wikicat_Ascenso_MX_teams 3
Gyula_Lóránt	wikicat_20th-century_Hungarian_people 8925
William_Maxwell_(footballer)	wikicat_Belgium_national_football_team_managers 12344
Dario_Smoje	wikicat_Superleague_Greece_players 2
The_Lion_King	wikicat_Films_about_apes 245
Hugo_Carreira	wikicat_Expatriate_footballers_in_China 1
Gmina_Szelków	wordnet_administrative_district_108491826 1
Rodney_Bush	wikicat_Scottish_Football_League_players 335
Melissa_Tancredi	wikicat_Saint_Louis_Athletica_players 13781
Steve_Bowey	wikicat_Living_people 1
Clonmel	wikicat_Towns_and_villages_in_County_Tipperary 10
Ludwig_von_Mises	wikicat_Libertarian_theorists 103
Vanče_Šikov	wikicat_Macedonia_international_footballers 20
Aaran_Lines	wikicat_SV_Werder_Bremen_II_players 1999
Romy_Schneider	wikicat_Actresses_from_Vienna 5477
Jonathan_Lethem	wikicat_Writers_from_New_York 22
Union_Douala	wikicat_Football_clubs_in_Cameroon 1
Kevin_Bacon	wikicat_American_actors 1
David_Bohm	wikicat_Jewish_agnostics 22
Wolverhampton	wikicat_Metropolitan_boroughs 1
Jonathan_Lethem	wikicat_Postmodern_writers 3
Paulo_Figueiredo	wikicat_People_from_Luanda 3
Roald_Dahl	wikicat_British_aviators 7848
Olivia_Newton-John	wikicat_British_actors 202
Neustrelitz	wikicat_Towns_in_Mecklenburg-Vorpommern 1
Thelma_Schoonmaker	wikicat_Living_people 7
Gmina_Tarnawatka	wordnet_administrative_district_108491826 1399
Kelvin_Jack	wikicat_Association_football_goalkeepers 59
Matthew_Broderick	wikicat_People_from_New_York_City 2
Taiyuan	wikicat_Populated_places_established_in_the_1st_millennium_BC 3021
Cristiano_Ávalos	wikicat_Expatriate_footballers_in_South_Korea 1
Alice_Munro	wikicat_Canadian_novelists 8871
Mitt_Romney	wikicat_Massachusetts_politicians 58
Alfonso_Blanco_Antúnez	wikicat_Mexican_footballers 15
East_Carolina_University	wikicat_Universities_and_colleges_in_North_Carolina 10
Cameroon_national_football_team	wordnet_football_team_108080025 838
Bob_Hope	wikicat_Comedians 15
Paulo_Sérgio_Moreira_Gonçalves	wikicat_Estrela_da_Amadora_players 14
C._S._Lewis	wikicat_Science_fiction_writers 16
Kung_Fu_Panda	wikicat_Paramount_Pictures_films 1
FC_Botoșani	wikicat_Football_clubs_in_Romania 1
Alan_Ladd	wikicat_People_from_Hot_Springs,_Arkansas 8707
Yuriy_Moroz	wikicat_Living_people 1
Pascal_Zuberbühler	wikicat_Fulham_F.C._players 1
Islamabad	wikicat_Planned_capitals 4
Ipswich_Town_F.C.	wikicat_Football_League_Championship_clubs 26
Paul_Simpson_(footballer)	wikicat_Stockport_County_F.C._managers 1130
