entity	type	rank_sampling	rank_passive	rank_diff
Singapore	wikicat_Port_cities	16984	378	16606
Division_No._11,_Alberta	wordnet_administrative_district_108491826	16329	1	16328
SC_Telstar	wikicat_Association_football_clubs_established_in_1963	15054	225	14829
Otago	wordnet_administrative_district_108491826	14439	119	14320
Clackmannanshire	wordnet_county_108546183	16245	2816	13429
Walter_Novellino	wikicat_A.C._Legnano_players	13000	870	12130
Exeter,_New_Hampshire	wikicat_Towns_in_New_Hampshire	16045	4252	11793
Videoton_FC	wikicat_Football_clubs_in_Hungary	11530	172	11358
University_of_Königsberg	wikicat_Universities_and_colleges_in_the_Polish–Lithuanian_Commonwealth	15894	4586	11308
John_Henry_Newman	wikicat_Converts_to_Roman_Catholicism_from_Anglicanism	16365	5292	11073
Borough_of_Milton_Keynes	wordnet_county_108546183	11932	1722	10210
Monica_(singer)	wikicat_People_from_Scottsdale,_Arizona	15464	5687	9777
Buenos_Aires	wikicat_Populated_places_established_in_1580	12684	3169	9515
College_Park,_Maryland	wikicat_Cities_in_Prince_George's_County,_Maryland	15179	6076	9103
Ton_Pentre_F.C.	wikicat_Association_football_clubs_established_in_1935	15136	6101	9035
Adap_Galo_Maringá_Football_Club	wikicat_Association_football_clubs_established_in_2006	10070	1391	8679
Omusati_Region	wikicat_Subdivisions_of_Namibia	16483	7825	8658
III._Kerületi_TUE	wikicat_Association_football_clubs_established_in_1887	8446	134	8312
University_of_Minnesota	wikicat_Universities_and_colleges_in_Minnesota	17181	9242	7939
Windhoek	wikicat_Regional_capitals_in_Namibia	15911	8295	7616
Gimnàstic_de_Tarragona	wikicat_Football_clubs_in_Spain	8672	1071	7601
Benoit_Mandelbrot	wikicat_Harvard_University_people	10207	2780	7427
F.C._Hansa_Rostock	wikicat_Football_clubs_in_Mecklenburg-Vorpommern	17032	9622	7410
FremantleMedia	wikicat_Companies_of_the_United_Kingdom	16691	9431	7260
Rouen	wikicat_Viking_Age_populated_places	10191	3106	7085
Christopher_Hitchens	wikicat_English_non-fiction_writers	15285	8228	7057
Quito	wikicat_Populated_places_in_Ecuador	16167	9131	7036
Legion_of_Honour	wikicat_Military_orders	16416	9381	7035
Michèle_Alliot-Marie	wikicat_People_from_Val-de-Marne	17466	10589	6877
Joshua_Jackson	wikicat_American_comics_writers	12632	5969	6663
Francis_Bacon	wikicat_British_spies	16723	10079	6644
Club_Atlético_Sarmiento	wordnet_club_108227214	7499	910	6589
Georges_Simenon	wikicat_People_from_Liège_(city)	15759	9395	6364
John_Grisham	wikicat_American_thriller_writers	17864	11539	6325
Aurelio_Vidmar	wikicat_Croydon_Kings_players	15357	9042	6315
Valletta	wikicat_World_Heritage_Sites_in_Malta	8421	2139	6282
Cobresal	wikicat_Football_clubs_in_Chile	13182	6977	6205
Géza_Kalocsay	wikicat_Hungarian_expatriates_in_Poland	17019	10901	6118
Anderlecht	wikicat_Municipalities_of_the_Brussels-Capital_Region	16458	10343	6115
Peggy_Lokando	wikicat_Waltham_Forest_F.C._players	15083	9023	6060
Mark_Williams_(South_African_footballer)	wikicat_Jomo_Cosmos_F.C._players	15579	9565	6014
Pittsburgh_International_Airport	wikicat_Airfields_of_the_United_States_Army_Air_Forces_in_Pennsylvania	14535	8678	5857
K.A.A._Gent	wikicat_Association_football_clubs_established_in_1864	16599	10798	5801
Gyula_Lóránt	wikicat_Olympic_footballers_of_Hungary	13588	7826	5762
Pallalcesto_Amatori_Udine	wikicat_Sports_clubs_established_in_1999	8980	3251	5729
Nazi_Party	wikicat_Political_parties_disestablished_in_1945	13629	7975	5654
Glen_Moss	wikicat_FC_Dinamo_București_players	10889	5242	5647
Haruki_Murakami	wikicat_20th-century_translators	17886	12274	5612
Woking_F.C.	wikicat_Football_clubs_in_Surrey	15333	9784	5549
Östergötland	wikicat_Provinces_of_Sweden	7114	1588	5526
Des_Plaines,_Illinois	wikicat_Populated_places_established_in_1852	6835	1333	5502
Boston	wikicat_Cities_in_Suffolk_County,_Massachusetts	13847	8411	5436
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939	5818	393	5425
G._K._Chesterton	wikicat_Converts_to_Roman_Catholicism_from_Anglicanism	10290	4888	5402
Club_Blooming	wikicat_Football_clubs_in_Bolivia	5564	185	5379
Mounir_El_Hamdaoui	wikicat_Dutch_people_of_Moroccan_descent	16519	11160	5359
James_Tobin	wikicat_People_from_Champaign,_Illinois	12656	7302	5354
Rosa_Luxemburg	wikicat_Executed_revolutionaries	17328	12041	5287
Elgin,_Illinois	wikicat_Cities_in_Kane_County,_Illinois	16861	11584	5277
David_Hume	wikicat_Scottish_atheists	15010	9782	5228
Ronald_Arana	wikicat_Club_Bolívar_players	5268	55	5213
TSG_Neustrelitz	wikicat_Football_clubs_in_Mecklenburg-Vorpommern	16722	11662	5060
David_Watson_(footballer_born_1946)	wikicat_Fort_Lauderdale_Sun_players	15850	10793	5057
Thomas_Paine	wikicat_18th-century_English_writers	15302	10281	5021
Gmina_Tarnawatka	wordnet_administrative_district_108491826	4982	1	4981
Dimba	wikicat_Leça_F.C._players	15122	10160	4962
Konstanz	wikicat_Borders_of_Germany	9335	4436	4899
Vanče_Šikov	wikicat_GFK_Tikveš_players	12276	7418	4858
Susan_Sontag	wikicat_American_historical_novelists	17385	12565	4820
Dorin_Goian	wikicat_FCM_Bacău_players	16966	12188	4778
Andy_King_(footballer,_born_1956)	wikicat_Cobh_Ramblers_F.C._players	15427	10680	4747
Eric_Idle	wikicat_21st-century_composers	5864	1164	4700
Mersin_İdmanyurdu_SK	wikicat_Football_clubs_in_Turkey	4750	50	4700
Port_Moresby	wikicat_Populated_places_established_in_1873	6061	1382	4679
Bonnyrigg_White_Eagles_FC	wikicat_Serbian_sports_clubs_in_Australia	14252	9627	4625
Sayaji_Shinde	wikicat_Actors_in_Kannada_cinema	15303	10721	4582
Mark_Williams_(South_African_footballer)	wikicat_Al_Shabab_FC_(Riyadh)_players	15678	11130	4548
Srgjan_Zaharievski	wikicat_FK_Teteks_players	15045	10515	4530
Hanoi	wikicat_Populated_places_established_in_the_11th_century	5218	718	4500
Wellingborough	wikicat_Post_towns_in_the_NN_postcode_area	14329	9903	4426
Jeremy_Bentham	wikicat_Animal_rights_advocates	11494	7122	4372
Andrej_Hesek	wikicat_FK_Senica_players	12771	8429	4342
Columbia,_Missouri	wikicat_Busking_venues	14021	9792	4229
Spellemannprisen	wikicat_Awards_established_in_1973	16239	12017	4222
Javier_Marías	wikicat_Translators_to_Spanish	16699	12491	4208
Leelanau_County,_Michigan	wikicat_Populated_places_established_in_1840	17968	13837	4131
Dammam	wikicat_Populated_places_established_in_1923	6258	2141	4117
FC_Chiasso	wikicat_Association_football_clubs_established_in_1905	11026	6949	4077
Óscar_Díaz_González	wikicat_CD_Lugo_footballers	14981	10924	4057
Fluminense_F.C.	wikicat_Football_clubs_in_Rio_de_Janeiro_(city)	4027	5	4022
Cole_Porter	wikicat_LGBT_composers	17364	13372	3992
Chick_Corea	wikicat_GRP_Records_artists	14716	10737	3979
Manuel_dos_Santos_Fernandes	wikicat_People_from_Praia	17350	13410	3940
Anne,_Princess_Royal	wikicat_Royal_Olympic_participants	15753	11822	3931
Trinity_University_(Texas)	wikicat_Educational_institutions_established_in_1873	4681	753	3928
University_of_Cambridge	wikicat_Educational_institutions_established_in_the_13th_century	14293	10379	3914
Charles_K._Kao	wikicat_Alumni_of_the_University_of_Greenwich	15322	11438	3884
Preston,_Lancashire	wikicat_Post_towns_in_the_PR_postcode_area	15886	12005	3881
Liberty_University	wikicat_Universities_and_colleges_affiliated_with_the_Southern_Baptist_Convention	13167	9289	3878
Eduardo_Ratinho	wikicat_Toulouse_FC_players	5073	1210	3863
Olubayo_Adefemi	wikicat_Hapoel_Bnei_Lod_F.C._players	16278	12443	3835
Flinders_University	wikicat_Educational_institutions_established_in_1966	14588	10759	3829
Roy_Scheider	wikicat_Rutgers_University_alumni	6027	2315	3712
Melbourne_Airport	wikicat_Airports_established_in_1970	13419	9713	3706
José_Saramago	wikicat_Anti-globalization_activists	6178	2519	3659
Steven_Spielberg	wikicat_Distinguished_Eagle_Scouts	7116	3457	3659
University_of_South_Africa	wikicat_Distance_education_institutions	13354	9710	3644
Jeff_Betts	wikicat_Portland_Pilots_men's_soccer_players	15647	12006	3641
M._S._Swaminathan	wikicat_World_Food_Prize_laureates	16299	12661	3638
Christopher_Guest	wikicat_Barons_in_the_Peerage_of_the_United_Kingdom	5522	1903	3619
Tommy_Wright_(footballer,_born_1984)	wikicat_Corby_Town_F.C._players	16071	12453	3618
Umm_Salal_SC	wikicat_Football_clubs_in_Qatar	10364	6834	3530
Kochi	wikicat_Cities_and_towns_in_Ernakulam_district	16405	12881	3524
Dungannon_Swifts_F.C.	wikicat_Association_football_clubs_established_in_1949	3544	50	3494
Hans-Georg_Gadamer	wikicat_Commentators_on_Aristotle	15722	12242	3480
Andrew_Taylor_(footballer,_born_1986)	wikicat_People_from_Hartlepool	16021	12555	3466
Alex_Mathie	wikicat_West_Auckland_Town_F.C._players	16911	13459	3452
Andreas_Glyniadakis	wikicat_AEK_Athens_B.C._players	15927	12580	3347
Peter_Debye	wikicat_People_from_Maastricht	4265	927	3338
Portland,_Oregon	wikicat_Cities_in_Clackamas_County,_Oregon	15757	12421	3336
John_Kerry	wikicat_Foreign_Service_brats	17342	14027	3315
Cluj-Napoca	wikicat_Capitals_of_the_Principality_of_Transylvania	12726	9411	3315
Jerry_Siegel	wikicat_Disney_comics_artists	6634	3343	3291
Joe_Pesci	wikicat_People_from_Belleville,_New_Jersey	4916	1650	3266
Thomas_Jefferson	wikicat_Protestant_philosophers	3652	386	3266
Virginia_Commonwealth_University	wikicat_Educational_institutions_established_in_1968	9191	5960	3231
Julianne_Moore	wikicat_People_from_North_Carolina	7124	3902	3222
Duchy_of_Styria	wikicat_Historical_subdivisions_of_the_Slovene_ethnic_territory	4316	1097	3219
Central_Connecticut_State_University	wikicat_Educational_institutions_established_in_1849	9273	6070	3203
Sékou_Tidiane_Souaré	wikicat_Expatriate_footballers_in_Guinea	14998	11798	3200
Pierre_Trudeau	wikicat_Canadian_academics	16877	13692	3185
fr/Avenir_sportif_de_La_Marsa_(football)	wikicat_Football_clubs_in_Tunisia	15527	12343	3184
FC_Arsenal_Kyiv	wikicat_Association_football_clubs_established_in_1934	3397	226	3171
Gilbert_Bodart	wikicat_K.V._Oostende_managers	17051	13904	3147
Liam_Neeson	wikicat_People_from_Ballymena	16055	12929	3126
Alex_Nyarko	wikicat_Dawu_Youngstars_players	15825	12702	3123
Bob_Hope	wikicat_American_boxers	15475	12356	3119
Kevin_Miller_(footballer)	wikicat_Footballers_from_Cornwall	4697	1590	3107
Julio_César_Uribe	wikicat_Peruvian_expatriates_in_Mexico	16501	13412	3089
C.F._Monterrey	wikicat_Association_football_clubs_established_in_1945	4260	1196	3064
John_Stuart_Mill	wikicat_Feminist_economists	13855	10800	3055
Liivo_Leetma	wikicat_Estonian_expatriate_footballers	16072	13018	3054
Hadley,_Massachusetts	wikicat_Populated_places_in_Hampshire_County,_Massachusetts	12298	9248	3050
Alex_Mathie	wikicat_Northern_Premier_League_managers	16206	13177	3029
Jules_Vandooren	wikicat_Senegal_national_football_team_managers	16371	13343	3028
Adolf_Hitler	wikicat_Naturalized_citizens_of_Germany	16458	13432	3026
Shreveport,_Louisiana	wikicat_Cities_in_Bossier_Parish,_Louisiana	17461	14448	3013
FC_Chiasso	wordnet_club_108227214	6223	3247	2976
Pervez_Musharraf	wikicat_People_from_Karachi	16685	13730	2955
Hilary_Duff	wikicat_Walt_Disney_Records_artists	16542	13587	2955
Stephen_King	wikicat_American_thriller_writers	17982	15048	2934
Terrel_Castle	wikicat_AEK_Athens_B.C._players	15824	12898	2926
San_Lorenzo_de_Almagro	wikicat_Argentine_rugby_union_teams	14805	11885	2920
Barack_Obama	wikicat_Occidental_College_alumni	17667	14752	2915
Persebaya_Surabaya	wikicat_Football_clubs_in_Indonesia	6059	3145	2914
Rennes	wikicat_Communes_of_Ille-et-Vilaine	16842	13929	2913
Ebbw_Vale_F.C.	wikicat_Association_football_clubs_disestablished_in_1998	6922	4009	2913
Coral_Gables,_Florida	wikicat_Populated_places_established_in_1925	9870	6992	2878
Jules_Vandooren	wikicat_Red_Star_Saint-Ouen_players	16107	13248	2859
Ninoslav_Milenković	wikicat_K._Sint-Truidense_V.V._players	3003	207	2796
John_Stuart_Mill	wikicat_Atheist_feminists	3697	911	2786
P._Bharathiraja	wikicat_Tamil_screenwriters	15567	12805	2762
Second_Crusade	wordnet_conflict_100958896	2925	170	2755
Chad_Harpur	wikicat_People_from_Johannesburg	15278	12527	2751
Jerzy_Skolimowski	wikicat_Polish_film_directors	16880	14168	2712
Vladislav_Stoyanov	wikicat_Expatriate_footballers_in_Moldova	3016	327	2689
Toshiko_Akiyoshi	wikicat_Music_arrangers	16436	13763	2673
Beirut	wikicat_Phoenician_sites_in_Lebanon	15319	12648	2671
Rosa_Luxemburg	wikicat_Anti-poverty_advocates	9309	6644	2665
Carlos_Casartelli	wikicat_UD_Salamanca_footballers	3965	1332	2633
50_Cent	wikicat_G-Unit_Records_artists	14506	11884	2622
Francis_Ford_(actor)	wikicat_Male_actors_from_Maine	15426	12832	2594
Mark_Williams_(South_African_footballer)	wikicat_Xian_Chanba_players	5704	3111	2593
Émile_Durkheim	wikicat_Sociologists_of_religion	14887	12300	2587
John_O'Rourke_(footballer)	wikicat_Rangers_F.C._(Johannesburg)_players	7232	4648	2584
Ronald_Coase	wikicat_Business_theorists	15053	12520	2533
Jack_Cork	wikicat_People_educated_at_Glyn_School	16344	13823	2521
Red_Sea	wikicat_Biblical_places	2712	207	2505
Meryl_Streep	wikicat_American_people_of_Swiss_descent	3276	772	2504
Roger_Glover	wikicat_Heavy_metal_bass_guitarists	16370	13867	2503
Panhellenic_Socialist_Movement	wikicat_Political_parties_in_Greece	13663	11184	2479
Abu_Dhabi	wikicat_Port_cities_in_the_Arabian_Peninsula	2658	179	2479
Nicolas_Anelka	wikicat_French_expatriates_in_the_United_Kingdom	16981	14502	2479
David_Byrne	wikicat_Sire_Records_artists	15144	12667	2477
William_Golding	wikicat_People_from_Marlborough	14297	11831	2466
Matteo_Contini	wikicat_S.S._Juve_Stabia_players	13130	10686	2444
Agustín_Castillo	wikicat_Expatriate_football_managers_in_El_Salvador	16635	14216	2419
Nikita_Rukavytsya	wikicat_Ukrainian_people	3217	873	2344
Dieter_Van_Tornhout	wikicat_Belgian_expatriates_in_the_Netherlands	13689	11376	2313
INXS	wikicat_Musical_groups_from_Sydney	14883	12571	2312
Abraham	wikicat_Prophets	15480	13168	2312
Ronald_Arana	wikicat_Guabirá_players	14594	12297	2297
Tbilisi	wikicat_Regions_of_Georgia_(country)	16071	13777	2294
Migen_Memelli	wikicat_GAIS_Göteborg_players	8258	5978	2280
Julius_Akosah	wikicat_Happy_Valley_AA_footballers	14663	12387	2276
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom	15357	13089	2268
Transylvania	wikicat_Former_countries_in_Europe	2874	609	2265
Rotterdam	wikicat_Port_cities_and_towns_in_the_Netherlands	15492	13229	2263
Mark_Owen	wikicat_Chadderton_F.C._players	8580	6317	2263
Delron_Buckley	wikicat_Borussia_Dortmund_II_players	2459	197	2262
Robert_Anton_Wilson	wikicat_American_occult_writers	15439	13193	2246
Elmore_Leonard	wikicat_Writers_from_New_Orleans,_Louisiana	14234	11988	2246
Lucero_(entertainer)	wikicat_Mexican_actresses	13417	11176	2241
Yuri_Morales	wikicat_Viborg_FF_players	5504	3272	2232
Pierre_Teilhard_de_Chardin	wikicat_Villanova_University_alumni	9349	7134	2215
Illés_Zsolt_Sitku	wikicat_Hungarian_expatriates_in_Turkey	14105	11893	2212
Charlotte_Eagles	wikicat_North_Carolina_soccer_teams	13719	11517	2202
Tom_Paxton	wikicat_People_from_Chicago,_Illinois	5179	2999	2180
Gyula_Lóránt	wikicat_20th-century_Hungarian_people	14193	12015	2178
University_of_Chile	wikicat_Universities_in_Santiago_Metropolitan_Region	14002	11825	2177
