Dennis_Cagara	wikicat_Brøndby_IF_players
Serbia_national_football_team	wordnet_football_team_108080025
Karachi	wikicat_Port_cities_and_towns_in_Pakistan
Paris	wikicat_Capitals
Friedrich_Hayek	wikicat_Academics_of_the_London_School_of_Economics
Gerard_López	wikicat_UEFA_Euro_2000_players
Vladimir_Nabokov	wikicat_American_poets
Graeme_Jones	wikicat_Bury_F.C._players
Paul_Baker	wikicat_York_City_F.C._players
Kerman_Province	wordnet_administrative_district_108491826
Le_Mans	wikicat_Prefectures_in_France
Eudalio_Arriaga	wikicat_Universidad_San_Martín_footballers
G._K._Chesterton	wikicat_English_novelists
Neil_Gaiman	wikicat_21st-century_British_novelists
Syria	wikicat_Member_states_of_the_Arab_League
Ricky_Gervais	wikicat_English_people_of_Canadian_descent
Hervé_Gaymard	wikicat_Living_people
Adair_County,_Iowa	wikicat_Populated_places_established_in_1851
Ernest_Rutherford	wordnet_scientist_110560637
Leandro_Marcolini_Pedroso_de_Almeida	wikicat_MTK_Budapest_FC_players
Quentin_Tarantino	wikicat_21st-century_American_actors
Róbert_Zeher	wikicat_Living_people
Belfast	wikicat_British_capitals
Order_of_Lenin	wikicat_Civil_awards_and_decorations_of_the_Soviet_Union
Mário_Soares	wikicat_Prime_Ministers_of_Portugal
Chengdu_Shuangliu_International_Airport	wordnet_airport_102692232
Logan_Tom	wikicat_Medalists_at_the_2012_Summer_Olympics
Northern_Ireland	wikicat_English-speaking_countries_and_territories
Arsenal_de_Sarandí	wikicat_Football_clubs_in_Argentina
French_language	wikicat_Languages_of_Haiti
Gerry_Goffin	wikicat_Lyricists
Harry_Belafonte	wikicat_American_singers
Sun_Yat-sen	wikicat_Converts_to_Protestantism
Alaska	wordnet_administrative_district_108491826
Ivan_Pelizzoli	wikicat_Olympic_bronze_medalists_for_Italy
Madison,_Wisconsin	wikicat_Populated_places_established_in_1836
Houston_Dynamos	wikicat_Soccer_clubs_in_Houston,_Texas
Los_Angeles	wikicat_Port_cities_and_towns_of_the_United_States_Pacific_coast
Fredrikstad	wikicat_Populated_places_on_the_Glomma_River
Raška_(region)	wikicat_Regions_of_Serbia
Anton_Robinson	wikicat_Fisher_Athletic_F.C._players
Kenneth_Arrow	wikicat_Game_theorists
Jane_Wyman	wikicat_Actresses_from_Missouri
Dundee_F.C.	wikicat_Scottish_Football_League_teams
Stephenie_Meyer	wikicat_American_paranormal_romance_writers
Gia_Chkhaidze	wikicat_Association_football_defenders
Philippe_Séguin	wikicat_École_nationale_d'administration_alumni
Lee_Butler_(footballer)	wikicat_Lincoln_City_F.C._players
Palo_Alto,_California	wikicat_Cities_in_the_San_Francisco_Bay_Area
Cuca_(footballer)	wikicat_São_Paulo_FC_managers
Dave_Morley	wikicat_Bala_Town_F.C._players
Kate_Bush	wikicat_People_from_Sulhamstead
Roman_Vorobyov	wikicat_Russian_footballers
Dmitri_Alenichev	wikicat_2002_FIFA_World_Cup_players
Tajikistan	wordnet_country_108544813
Ludwig_van_Beethoven	wikicat_Pupils_of_Johann_Georg_Albrechtsberger
Hunter_S._Thompson	wikicat_Journalists_who_committed_suicide
Paul_Kinnaird	wikicat_Shrewsbury_Town_F.C._players
Manolis_Skoufalis	wikicat_Kerkyra_FC_players
Reine_Almqvist	wikicat_Åtvidabergs_FF_players
Murray_Gell-Mann	wikicat_Jewish_scientists
Emil_Rilke	wikicat_People_from_Ústí_nad_Labem
Chicago_Bulls	wikicat_Basketball_teams_in_the_United_States
Yves_Desmarets	wikicat_2013_CONCACAF_Gold_Cup_players
Dulwich_Hamlet_F.C.	wikicat_Association_football_clubs_established_in_1893
Thomas_Jefferson	wikicat_American_people_of_English_descent
Scarborough_F.C.	wordnet_club_108227214
Stevie_Wonder	wikicat_American_soul_keyboardists
Adam_Smith	wikicat_Scottish_scholars_and_academics
Michael_Madsen	wikicat_21st-century_actors
Ronald_Reagan	wikicat_American_actors
Hainaut_(province)	wikicat_Walloon_provinces
Joseph_Stiglitz	wikicat_World_Bank_Chief_Economists
Westmorland_County,_New_Brunswick	wordnet_administrative_district_108491826
Rio_de_Janeiro	wikicat_Municipalities_of_Brazil
Adrian_Belew	wikicat_American_guitarists
Lekhwiya_SC	wordnet_club_108227214
Mount_Isa	wikicat_Mining_towns_in_Queensland
Exeter	wikicat_Towns_in_Devon
Tel_Aviv	wikicat_Biblical_places
Jacques_Chirac	wikicat_People_of_the_Algerian_War
Gavin_Rossdale	wordnet_artist_109812338
Nicolae_Iorga	wikicat_World_War_I_historians
NBA_Development_League	wikicat_Basketball_leagues_in_the_United_States
Rotherham_United_F.C.	wordnet_club_108227214
John_Quincy_Adams	wikicat_Democratic-Republican_Party_politicians
New_England_Revolution	wordnet_club_108227214
Graham_County,_Arizona	wordnet_county_108546183
Éder_Aleixo_de_Assis	wikicat_Malatyaspor_footballers
Diana_Dors	wikicat_20th-century_actors
Nouméa	wikicat_Capitals_in_Oceania
Jean-Paul_Sartre	wikicat_Free_love_advocates
North_Carolina	wordnet_administrative_district_108491826
AGOVV_Apeldoorn	wikicat_Association_football_clubs_disestablished_in_2013
AFC_Ajax	wordnet_club_108227214
Bob_Dylan	wikicat_Converts_to_Judaism_from_Christianity
Hanna_Schygulla	wikicat_People_from_the_Province_of_Upper_Silesia
FC_Ufa	wikicat_Companies_of_Russia
Kemalettin_Şentürk	wikicat_Turkish_football_managers
Christchurch	wikicat_Villages_in_Dorset
Gamba_Osaka	wikicat_Japan_Soccer_League_clubs
Sasho_Petrovski	wikicat_FK_Pelister_players
North_Korea	wikicat_Countries
Taranto_F.C._1927	wikicat_Association_football_clubs_established_in_1927
Bruce_Springsteen	wordnet_artist_109812338
Huntington,_West_Virginia	wikicat_Cities_in_Wayne_County,_West_Virginia
Gabon	wikicat_Countries
Igor_Tamm	wikicat_Russian_people
Sacha_Baron_Cohen	wordnet_comedian_109940146
Akira_Toriyama	wikicat_Living_people
Exeter_International_Airport	wikicat_Airports_in_England
Juventus_F.C.	wikicat_Italian_football_First_Division_clubs
Northern_Mariana_Islands	wordnet_country_108544813
Philip_II_of_Spain	wikicat_Counts_of_Barcelona
Huntington_Beach,_California	wikicat_Populated_coastal_places_in_California
Arthur_C._Clarke	wikicat_Commanders_of_the_Order_of_the_British_Empire
Peter_Kropotkin	wikicat_Anarchist_academics
