Andrey_Yeshchenko	wikicat_Russian_footballers 3
Daniel_Pendín	wikicat_Expatriate_footballers_in_Spain 6
Turkey_1	wikicat_Middle_Eastern_countries 3
Edinburgh	wordnet_administrative_district_108491826 2
Bangladesh	wikicat_Countries 1
Andrzej_Bledzewski	wikicat_Living_people 1
Kalusha_Bwalya	wikicat_Cercle_Brugge_K.S.V._players 178
Kamloops_Blazers	wikicat_Sports_clubs_established_in_1981 432
Derek_Yee	wikicat_Hong_Kong_people_of_Manchu_descent 5
George_Gebro	wikicat_Hapoel_Petah_Tikva_F.C._players 151
Marin_Petrov	wikicat_Bulgarian_A_Professional_Football_Group_players 1
L.A._Reid	wikicat_Reality_television_judges 131
Suat_Usta_0	wikicat_Turkish_footballers 40
Haile_Selassie_I_of_Ethiopia	wikicat_Chief_Commanders_of_the_Legion_of_Merit 10465
Thom_Yorke	wikicat_People_educated_at_Abingdon_School 8951
Carl_Airey	wikicat_The_Football_League_players 1
Wheeling,_West_Virginia	wikicat_Former_United_States_state_capitals 547
Lionel_Messi	wikicat_2011_Copa_América_players 6
Glen_Moss	wikicat_FC_Dinamo_București_players 7842
Steven_Spielberg_1	wikicat_American_people 1
Norman_Foster_(director)	wikicat_American_male_film_actors 5
Maggie_Gyllenhaal_4	wikicat_21st-century_American_actresses 1
George_Best	wikicat_Expatriate_soccer_players_in_South_Africa 9
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players 7583
Pernik	wordnet_administrative_district_108491826 1
Neustrelitz	wikicat_Municipalities_in_Mecklenburg-Vorpommern 1
George_R._R._Martin	wikicat_American_television_producers 7
Immanuel_Kant_2	wikicat_Ethnic_German_people 2
George_Abbott	wikicat_American_male_stage_actors 550
Harlow	wikicat_Local_government_districts_of_the_East_of_England 10
Dean_Gordon	wikicat_People_from_Croydon 1714
François_Remetter	wikicat_French_footballers 14
Bath_City_F.C.	wikicat_Southern_Football_League_clubs 34
Université_libre_de_Bruxelles	wordnet_university_108286569 1
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom 8742
Fritz_Lang	wikicat_People_who_emigrated_to_escape_Nazism 36
Portland_Pride	wordnet_club_108227214 208
Steven_Weinberg_0	wikicat_Jewish_physicists 1
Port-au-Prince	wikicat_Port_cities_in_the_Caribbean 1
Edward_Witten_1	wikicat_20th-century_physicists 1
Ballon_d'Or_(1956–2009)	wordnet_award_106696483 3521
Mike_Pollitt_0	wikicat_Bury_F.C._players 42
Jean-Paul_Sartre_0	wikicat_French_novelists 8
Raoul_Bott	wikicat_Carnegie_Mellon_University_alumni 465
Matthew_Broderick_1	wikicat_American_people_of_British_descent 24
S.S._Lazio	wikicat_Publicly_traded_sports_companies 47
Zlatko_Yankov_1	wikicat_1994_FIFA_World_Cup_players 11
Alexandre_Lopes_1	wikicat_FC_Spartak_Moscow_players 4678
Georg_Wilhelm_Friedrich_Hegel_1	wikicat_German_logicians 44
Bozhidar_Iskrenov_0	wikicat_PFC_Levski_Sofia_players 25
Robert_Jarni	wikicat_UEFA_Euro_1996_players 63
Dave_Mitchell_(footballer)	wikicat_Australian_expatriates_in_Turkey 13
Bridge_Boys_F.C.	wikicat_Sports_clubs_in_Nigeria 2
Syangja_District	wikicat_Districts_of_Nepal 1
FremantleMedia	wikicat_Companies_of_the_United_Kingdom 8201
Sylvia_Plath_0	wikicat_American_diarists 10953
Francis_Bacon_1	wikicat_Empiricists 24
Greenock_Morton_F.C.	wikicat_Football_clubs_in_Scotland 1
Jackass_Number_Two	wikicat_2006_films 71
Michael_Nyman_1	wikicat_Postmodern_composers 11306
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939 4334
Dune_(film)_1	wikicat_Space_adventure_films 1945
Daryl_Taylor_0	wikicat_Walsall_F.C._players 27
Adam_Rooney_0	wikicat_Scottish_Football_League_players 16
Danny_Califf_2	wikicat_LA_Galaxy_players 2064
Greifswald	wikicat_Port_cities 10
Västra_Götaland_County	wikicat_Provinces_of_Sweden 294
Vietnam	wikicat_Socialist_states 1
Hristo_Stoichkov_1	wikicat_Bulgarian_expatriates_in_Spain 1
Roald_Dahl	wikicat_British_people_of_World_War_II 346
Thespakusatsu_Gunma	wikicat_Football_clubs_in_Japan 1
Eric_Clapton_1	wikicat_Blues_guitarists 11377
Bernard_Hill_0	wikicat_English_stage_actors 1
Santos_FC_(women)	wordnet_club_108227214 1
Delron_Buckley	wikicat_Borussia_Dortmund_II_players 55
Michael_Hughes_(footballer)	wikicat_People_from_Larne 11828
Lublin_County	wikicat_Counties_of_Poland 157
Søren_Larsen_3	wikicat_Brøndby_IF_players 12
Vladan_Milovanović	wikicat_SC_Austria_Lustenau_players 4798
Velletri	wikicat_Cities_and_towns_in_Italy 21
Patricia_Neal_0	wikicat_American_actresses 3
Aleksandar_Trišović	wikicat_FC_Metalist_Kharkiv_players 49
Steven_Tyler_1	wikicat_American_people_of_German_descent 6
Mato_Neretljak	wikicat_Living_people 2
Birmingham_City_F.C.	wikicat_Premier_League_clubs 1
Mike_Pollitt_0	wikicat_Burnley_F.C._players 21
James_Watson	wikicat_Nobel_laureates_in_Physiology_or_Medicine 980
S.V._Zulte_Waregem	wikicat_Association_football_clubs_established_in_2001 468
Dan_Eggen	wikicat_Norwegian_football_managers 41
Sullivan_County,_Missouri	wikicat_Missouri_counties 9
Bournemouth	wordnet_site_108651247 1
Adam_Smith_0	wikicat_Scottish_people 52
Allen_Ginsberg_0	wikicat_Jewish_anarchists 36
Gilbert_Bodart_1	wikicat_Belgium_international_footballers 9
Nancy_Sinatra_1	wikicat_Living_people 1
Serhiy_Rozhok	wikicat_FC_Kryvbas_Kryvyi_Rih_players 38
Darren_Mansaram_1	wikicat_Armthorpe_Welfare_F.C._players 72
Warsaw	wordnet_administrative_district_108491826 1
Terrel_Castle_1	wikicat_American_expatriate_basketball_people_in_Spain 1
Porto-Novo	wikicat_Capitals 29
Teenage_Mutant_Ninja_Turtles_(film_series)	wikicat_Films_featuring_anthropomorphic_characters 15
The_Story_of_Alexander_Graham_Bell	wikicat_English-language_films 1
Walt_Disney	wikicat_American_people_of_Irish_descent 8
Karl_Marx_0	wikicat_English_philosophers 83
Dune_(film)_0	wikicat_American_films 2
Jack_Cork_1	wikicat_England_under-21_international_footballers 2
Neil_Wood	wikicat_Expatriate_footballers_in_Bosnia_and_Herzegovina 68
Turek_County	wikicat_Land_counties_of_Greater_Poland_Voivodeship 1
Mort_Shuman	wikicat_Jewish_American_musicians 715
George_Dantzig	wikicat_American_operations_researchers 62
Columbus,_Ohio	wikicat_Planned_cities_in_the_United_States 157
Sewickley,_Pennsylvania	wikicat_Pennsylvania_populated_places_on_the_Ohio_River 10168
Castile-La_Mancha	wikicat_NUTS_2_statistical_regions_of_the_European_Union 1
Frederik_Pohl_1	wikicat_English-language_writers 2
Roy_Scheider	wikicat_Rutgers_University_alumni 5403
French_language_0	wikicat_Languages_of_Lebanon 39
Franco_Da_Dalt	wikicat_A.S._Varese_1910_players 34
Andrej_Hesek	wikicat_FK_Senica_players 7896
Chien-Shiung_Wu_2	wikicat_20th-century_women 11
Mauricio_Hanuch_0	wikicat_Estudiantes_de_La_Plata_footballers 1
Belgium_0	wikicat_French-speaking_countries_and_territories 4
Irvine,_North_Ayrshire	wikicat_Ports_and_harbours_of_Scotland 11
Georges_Bataille_1	wikicat_French_philosophers 1
Wydad_Casablanca	wikicat_Football_clubs_in_Morocco 1
Tanya_Tucker	wordnet_artist_109812338 1
Williams_Martínez_1	wikicat_Expatriate_footballers_in_France 46
Waupaca_County,_Wisconsin	wordnet_county_108546183 1
Ludwig_Boltzmann	wikicat_Scientists_who_committed_suicide 13220
Alex_Revell	wikicat_Rotherham_United_F.C._players 7
Nikola_Jozić_1	wikicat_Eintracht_Frankfurt_players 16
Moscow	wikicat_Special_Economic_Zones 2
Krunoslav_Lovrek_1	wikicat_Croatian_expatriate_footballers 1
Ian_Thomas-Moore	wikicat_Burnley_F.C._players 169
Eduardo_Costa	wikicat_People_from_Rio_Grande_do_Sul 1
Abia_State	wikicat_States_in_Igboland 1
Dennis_Lehane	wikicat_American_crime_fiction_writers 4
Mexico_national_under-23_football_team	wikicat_National_sports_teams_of_Mexico 17
Beaufort,_South_Carolina	wikicat_Populated_places_in_Beaufort_County,_South_Carolina 5431
Nick_Cave_0	wikicat_Alternative_rock_musicians 7
Inter_Milan	wikicat_Unrelegated_association_football_clubs 23
Dublin	wikicat_Towns_and_villages_in_County_Dublin 6311
Borough_of_Fylde	wordnet_administrative_district_108491826 2
Oleg_Veretennikov_0	wikicat_FC_Rotor_Volgograd_players 129
Prince_Philip,_Duke_of_Edinburgh	wikicat_British_people_of_German_descent 267
Belo_Horizonte	wikicat_Populated_places_established_in_1701 2382
Germany	wikicat_Federal_countries 21
Anel_Canales	wikicat_Association_football_forwards 10
Order_of_the_Star_of_Italian_Solidarity	wikicat_Awards_established_in_1947 4491
Ahmed_Deen_1	wikicat_Bishop's_Stortford_F.C._players 32
fr/Avenir_sportif_de_La_Marsa_(football)	wikicat_Football_clubs_in_Tunisia 9530
Sociedade_Esportiva_do_Gama	wikicat_Football_clubs_in_Brazil 16
Palm_Springs,_California	wikicat_Incorporated_cities_and_towns_in_California 2
Nikopol,_Ukraine	wikicat_Cities_in_Dnipropetrovsk_Oblast 53
Bruno_Rodriguez_0	wikicat_AC_Ajaccio_players 27
Roger_Glover_0	wikicat_Heavy_metal_bass_guitarists 9688
Zacatepec	wikicat_Ascenso_MX_teams 1
Gyula_Lóránt	wikicat_20th-century_Hungarian_people 10452
William_Maxwell_(footballer)	wikicat_Belgium_national_football_team_managers 14368
Dario_Smoje_2	wikicat_Superleague_Greece_players 17
The_Lion_King	wikicat_Films_about_apes 14
Hugo_Carreira	wikicat_Expatriate_footballers_in_China 4
Gmina_Szelków	wordnet_administrative_district_108491826 27
Rodney_Bush	wikicat_Scottish_Football_League_players 447
Melissa_Tancredi_2	wikicat_Saint_Louis_Athletica_players 13755
Steve_Bowey	wikicat_Living_people 2
Clonmel	wikicat_Towns_and_villages_in_County_Tipperary 2
Ludwig_von_Mises_0	wikicat_Libertarian_theorists 206
Vanče_Šikov	wikicat_Macedonia_international_footballers 1
Aaran_Lines	wikicat_SV_Werder_Bremen_II_players 3531
