Andrey_Yeshchenko	wikicat_Russian_footballers 4
Daniel_Pendín	wikicat_Expatriate_footballers_in_Spain 11
Turkey	wikicat_Middle_Eastern_countries 2
Edinburgh	wordnet_administrative_district_108491826 4
Bangladesh	wikicat_Countries 1
Andrzej_Bledzewski	wikicat_Living_people 1
Kalusha_Bwalya	wikicat_Cercle_Brugge_K.S.V._players 460
Kamloops_Blazers	wikicat_Sports_clubs_established_in_1981 7607
Derek_Yee	wikicat_Hong_Kong_people_of_Manchu_descent 8
George_Gebro	wikicat_Hapoel_Petah_Tikva_F.C._players 126
Marin_Petrov	wikicat_Bulgarian_A_Professional_Football_Group_players 1
L.A._Reid	wikicat_Reality_television_judges 288
Suat_Usta	wikicat_Turkish_footballers 2
Haile_Selassie_I_of_Ethiopia	wikicat_Chief_Commanders_of_the_Legion_of_Merit 14689
Thom_Yorke	wikicat_People_educated_at_Abingdon_School 12780
Carl_Airey	wikicat_The_Football_League_players 1
Wheeling,_West_Virginia	wikicat_Former_United_States_state_capitals 341
Lionel_Messi	wikicat_2011_Copa_América_players 38
Glen_Moss	wikicat_FC_Dinamo_București_players 7553
Steven_Spielberg	wikicat_American_people 1
Norman_Foster_(director)	wikicat_American_male_film_actors 2
Maggie_Gyllenhaal	wikicat_21st-century_American_actresses 2
George_Best	wikicat_Expatriate_soccer_players_in_South_Africa 16
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players 12295
Pernik	wordnet_administrative_district_108491826 1
Neustrelitz	wikicat_Municipalities_in_Mecklenburg-Vorpommern 1
George_R._R._Martin	wikicat_American_television_producers 5
Immanuel_Kant	wikicat_Ethnic_German_people 1
George_Abbott	wikicat_American_male_stage_actors 17
Harlow	wikicat_Local_government_districts_of_the_East_of_England 13
Dean_Gordon	wikicat_People_from_Croydon 958
François_Remetter	wikicat_French_footballers 2
Bath_City_F.C.	wikicat_Southern_Football_League_clubs 54
Université_libre_de_Bruxelles	wordnet_university_108286569 1
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom 14310
Fritz_Lang	wikicat_People_who_emigrated_to_escape_Nazism 15
Portland_Pride	wordnet_club_108227214 2
Steven_Weinberg	wikicat_Jewish_physicists 1
Port-au-Prince	wikicat_Port_cities_in_the_Caribbean 1
Edward_Witten	wikicat_20th-century_physicists 1
Ballon_d'Or_(1956–2009)	wordnet_award_106696483 24
Mike_Pollitt	wikicat_Bury_F.C._players 102
Jean-Paul_Sartre	wikicat_French_novelists 6
Raoul_Bott	wikicat_Carnegie_Mellon_University_alumni 176
Matthew_Broderick	wikicat_American_people_of_British_descent 11
S.S._Lazio	wikicat_Publicly_traded_sports_companies 29
Zlatko_Yankov	wikicat_1994_FIFA_World_Cup_players 7
Alexandre_Lopes	wikicat_FC_Spartak_Moscow_players 266
Georg_Wilhelm_Friedrich_Hegel	wikicat_German_logicians 17
Bozhidar_Iskrenov	wikicat_PFC_Levski_Sofia_players 6
Robert_Jarni	wikicat_UEFA_Euro_1996_players 11
Dave_Mitchell_(footballer)	wikicat_Australian_expatriates_in_Turkey 4
Bridge_Boys_F.C.	wikicat_Sports_clubs_in_Nigeria 1
Syangja_District	wikicat_Districts_of_Nepal 1
FremantleMedia	wikicat_Companies_of_the_United_Kingdom 11370
Sylvia_Plath	wikicat_American_diarists 16208
Francis_Bacon	wikicat_Empiricists 66
Greenock_Morton_F.C.	wikicat_Football_clubs_in_Scotland 1
Jackass_Number_Two	wikicat_2006_films 80
Michael_Nyman	wikicat_Postmodern_composers 13065
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939 5606
Dune_(film)	wikicat_Space_adventure_films 390
Daryl_Taylor	wikicat_Walsall_F.C._players 86
Adam_Rooney	wikicat_Scottish_Football_League_players 2
Danny_Califf	wikicat_LA_Galaxy_players 22
Greifswald	wikicat_Port_cities 3
Västra_Götaland_County	wikicat_Provinces_of_Sweden 26
Vietnam	wikicat_Socialist_states 1
Hristo_Stoichkov	wikicat_Bulgarian_expatriates_in_Spain 1
Roald_Dahl	wikicat_British_people_of_World_War_II 663
Thespakusatsu_Gunma	wikicat_Football_clubs_in_Japan 1
Eric_Clapton	wikicat_Blues_guitarists 15831
Bernard_Hill	wikicat_English_stage_actors 1
Santos_FC_(women)	wordnet_club_108227214 1
Delron_Buckley	wikicat_Borussia_Dortmund_II_players 1219
Michael_Hughes_(footballer)	wikicat_People_from_Larne 12199
Lublin_County	wikicat_Counties_of_Poland 621
Søren_Larsen	wikicat_Brøndby_IF_players 47
Vladan_Milovanović	wikicat_SC_Austria_Lustenau_players 284
Velletri	wikicat_Cities_and_towns_in_Italy 3
Patricia_Neal	wikicat_American_actresses 1
Aleksandar_Trišović	wikicat_FC_Metalist_Kharkiv_players 9
Steven_Tyler	wikicat_American_people_of_German_descent 7
Mato_Neretljak	wikicat_Living_people 1
Birmingham_City_F.C.	wikicat_Premier_League_clubs 1
Mike_Pollitt	wikicat_Burnley_F.C._players 6
James_Watson	wikicat_Nobel_laureates_in_Physiology_or_Medicine 852
S.V._Zulte_Waregem	wikicat_Association_football_clubs_established_in_2001 548
Dan_Eggen	wikicat_Norwegian_football_managers 103
