Andrey_Yeshchenko	wikicat_Russian_footballers 2
Daniel_Pendín	wikicat_Expatriate_footballers_in_Spain 3
Turkey	wikicat_Middle_Eastern_countries 2
Edinburgh	wordnet_administrative_district_108491826 1
Bangladesh	wikicat_Countries 1
Andrzej_Bledzewski	wikicat_Living_people 1
Kalusha_Bwalya	wikicat_Cercle_Brugge_K.S.V._players 440
Kamloops_Blazers	wikicat_Sports_clubs_established_in_1981 8168
Derek_Yee	wikicat_Hong_Kong_people_of_Manchu_descent 26
George_Gebro	wikicat_Hapoel_Petah_Tikva_F.C._players 473
Marin_Petrov	wikicat_Bulgarian_A_Professional_Football_Group_players 1
L.A._Reid	wikicat_Reality_television_judges 704
Suat_Usta	wikicat_Turkish_footballers 1
Haile_Selassie_I_of_Ethiopia	wikicat_Chief_Commanders_of_the_Legion_of_Merit 11786
Thom_Yorke	wikicat_People_educated_at_Abingdon_School 12530
Carl_Airey	wikicat_The_Football_League_players 1
Wheeling,_West_Virginia	wikicat_Former_United_States_state_capitals 59
Lionel_Messi	wikicat_2011_Copa_América_players 130
Glen_Moss	wikicat_FC_Dinamo_București_players 6902
Steven_Spielberg	wikicat_American_people 1
Norman_Foster_(director)	wikicat_American_male_film_actors 2
Maggie_Gyllenhaal	wikicat_21st-century_American_actresses 1
George_Best	wikicat_Expatriate_soccer_players_in_South_Africa 16
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players 10751
Pernik	wordnet_administrative_district_108491826 1
Neustrelitz	wikicat_Municipalities_in_Mecklenburg-Vorpommern 1
George_R._R._Martin	wikicat_American_television_producers 4
Immanuel_Kant	wikicat_Ethnic_German_people 1
George_Abbott	wikicat_American_male_stage_actors 25
Harlow	wikicat_Local_government_districts_of_the_East_of_England 2
Dean_Gordon	wikicat_People_from_Croydon 1014
François_Remetter	wikicat_French_footballers 5
Bath_City_F.C.	wikicat_Southern_Football_League_clubs 38
Université_libre_de_Bruxelles	wordnet_university_108286569 1
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom 14080
Fritz_Lang	wikicat_People_who_emigrated_to_escape_Nazism 58
