Andrey_Yeshchenko	wikicat_Russian_footballers 9
Daniel_Pendín	wikicat_Expatriate_footballers_in_Spain 8
Turkey	wikicat_Middle_Eastern_countries 5
Edinburgh	wordnet_administrative_district_108491826 3
Bangladesh	wikicat_Countries 1
Andrzej_Bledzewski	wikicat_Living_people 1
Kalusha_Bwalya	wikicat_Cercle_Brugge_K.S.V._players 277
Kamloops_Blazers	wikicat_Sports_clubs_established_in_1981 3115
Derek_Yee	wikicat_Hong_Kong_people_of_Manchu_descent 2
George_Gebro	wikicat_Hapoel_Petah_Tikva_F.C._players 181
Marin_Petrov	wikicat_Bulgarian_A_Professional_Football_Group_players 1
L.A._Reid	wikicat_Reality_television_judges 3778
Suat_Usta	wikicat_Turkish_footballers 2
Haile_Selassie_I_of_Ethiopia	wikicat_Chief_Commanders_of_the_Legion_of_Merit 3416
Thom_Yorke	wikicat_People_educated_at_Abingdon_School 7595
Carl_Airey	wikicat_The_Football_League_players 2
Wheeling,_West_Virginia	wikicat_Former_United_States_state_capitals 154
Lionel_Messi	wikicat_2011_Copa_América_players 19
Glen_Moss	wikicat_FC_Dinamo_București_players 6460
Steven_Spielberg	wikicat_American_people 1
Norman_Foster_(director)	wikicat_American_male_film_actors 1
Maggie_Gyllenhaal	wikicat_21st-century_American_actresses 10
George_Best	wikicat_Expatriate_soccer_players_in_South_Africa 2
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players 8889
Pernik	wordnet_administrative_district_108491826 1
Neustrelitz	wikicat_Municipalities_in_Mecklenburg-Vorpommern 1
George_R._R._Martin	wikicat_American_television_producers 1
Immanuel_Kant	wikicat_Ethnic_German_people 2
George_Abbott	wikicat_American_male_stage_actors 11
Harlow	wikicat_Local_government_districts_of_the_East_of_England 12
Dean_Gordon	wikicat_People_from_Croydon 378
François_Remetter	wikicat_French_footballers 6
Bath_City_F.C.	wikicat_Southern_Football_League_clubs 10
Université_libre_de_Bruxelles	wordnet_university_108286569 1
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom 8331
Fritz_Lang	wikicat_People_who_emigrated_to_escape_Nazism 11
Portland_Pride	wordnet_club_108227214 4139
Steven_Weinberg	wikicat_Jewish_physicists 1
Port-au-Prince	wikicat_Port_cities_in_the_Caribbean 7
Edward_Witten	wikicat_20th-century_physicists 1
Ballon_d'Or_(1956–2009)	wordnet_award_106696483 252
Mike_Pollitt	wikicat_Bury_F.C._players 71
Jean-Paul_Sartre	wikicat_French_novelists 17
Raoul_Bott	wikicat_Carnegie_Mellon_University_alumni 247
Matthew_Broderick	wikicat_American_people_of_British_descent 90
S.S._Lazio	wikicat_Publicly_traded_sports_companies 268
Zlatko_Yankov	wikicat_1994_FIFA_World_Cup_players 2
Alexandre_Lopes	wikicat_FC_Spartak_Moscow_players 5420
Georg_Wilhelm_Friedrich_Hegel	wikicat_German_logicians 53
Bozhidar_Iskrenov	wikicat_PFC_Levski_Sofia_players 6
Robert_Jarni	wikicat_UEFA_Euro_1996_players 6
Dave_Mitchell_(footballer)	wikicat_Australian_expatriates_in_Turkey 2
Bridge_Boys_F.C.	wikicat_Sports_clubs_in_Nigeria 2
Syangja_District	wikicat_Districts_of_Nepal 1
FremantleMedia	wikicat_Companies_of_the_United_Kingdom 9335
Sylvia_Plath	wikicat_American_diarists 3769
Francis_Bacon	wikicat_Empiricists 87
Greenock_Morton_F.C.	wikicat_Football_clubs_in_Scotland 1
Jackass_Number_Two	wikicat_2006_films 547
Michael_Nyman	wikicat_Postmodern_composers 9495
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939 9739
Dune_(film)	wikicat_Space_adventure_films 632
Daryl_Taylor	wikicat_Walsall_F.C._players 82
Adam_Rooney	wikicat_Scottish_Football_League_players 11
Danny_Califf	wikicat_LA_Galaxy_players 33
Greifswald	wikicat_Port_cities 20
Västra_Götaland_County	wikicat_Provinces_of_Sweden 84
Vietnam	wikicat_Socialist_states 1
Hristo_Stoichkov	wikicat_Bulgarian_expatriates_in_Spain 1
Roald_Dahl	wikicat_British_people_of_World_War_II 1104
Thespakusatsu_Gunma	wikicat_Football_clubs_in_Japan 1
Eric_Clapton	wikicat_Blues_guitarists 8885
Bernard_Hill	wikicat_English_stage_actors 1
Santos_FC_(women)	wordnet_club_108227214 1
Delron_Buckley	wikicat_Borussia_Dortmund_II_players 731
Michael_Hughes_(footballer)	wikicat_People_from_Larne 8329
Lublin_County	wikicat_Counties_of_Poland 150
Søren_Larsen	wikicat_Brøndby_IF_players 126
Vladan_Milovanović	wikicat_SC_Austria_Lustenau_players 1841
Velletri	wikicat_Cities_and_towns_in_Italy 14
Patricia_Neal	wikicat_American_actresses 1
Aleksandar_Trišović	wikicat_FC_Metalist_Kharkiv_players 5
