Andrey_Yeshchenko	wikicat_Russian_footballers 2
Daniel_Pendín	wikicat_Expatriate_footballers_in_Spain 7
Turkey	wikicat_Middle_Eastern_countries 6
Edinburgh	wordnet_administrative_district_108491826 71
Bangladesh	wikicat_Countries 1
Andrzej_Bledzewski	wikicat_Living_people 1
Kalusha_Bwalya	wikicat_Cercle_Brugge_K.S.V._players 303
Kamloops_Blazers	wikicat_Sports_clubs_established_in_1981 3000
Derek_Yee	wikicat_Hong_Kong_people_of_Manchu_descent 3
George_Gebro	wikicat_Hapoel_Petah_Tikva_F.C._players 498
Marin_Petrov	wikicat_Bulgarian_A_Professional_Football_Group_players 1
L.A._Reid	wikicat_Reality_television_judges 364
Suat_Usta	wikicat_Turkish_footballers 1
Haile_Selassie_I_of_Ethiopia	wikicat_Chief_Commanders_of_the_Legion_of_Merit 11560
Thom_Yorke	wikicat_People_educated_at_Abingdon_School 10901
Carl_Airey	wikicat_The_Football_League_players 2
Wheeling,_West_Virginia	wikicat_Former_United_States_state_capitals 1141
Lionel_Messi	wikicat_2011_Copa_América_players 35
Glen_Moss	wikicat_FC_Dinamo_București_players 10215
Steven_Spielberg	wikicat_American_people 1
Norman_Foster_(director)	wikicat_American_male_film_actors 1
Maggie_Gyllenhaal	wikicat_21st-century_American_actresses 8
George_Best	wikicat_Expatriate_soccer_players_in_South_Africa 2
Valberto_Amorim_dos_Santos	wikicat_Montedio_Yamagata_players 8589
Pernik	wordnet_administrative_district_108491826 1
Neustrelitz	wikicat_Municipalities_in_Mecklenburg-Vorpommern 1
George_R._R._Martin	wikicat_American_television_producers 1
Immanuel_Kant	wikicat_Ethnic_German_people 1
George_Abbott	wikicat_American_male_stage_actors 16
Harlow	wikicat_Local_government_districts_of_the_East_of_England 4
Dean_Gordon	wikicat_People_from_Croydon 653
François_Remetter	wikicat_French_footballers 11
Bath_City_F.C.	wikicat_Southern_Football_League_clubs 13
Université_libre_de_Bruxelles	wordnet_university_108286569 1
André_Santos	wikicat_Brazilian_expatriates_in_the_United_Kingdom 10013
Fritz_Lang	wikicat_People_who_emigrated_to_escape_Nazism 14
Portland_Pride	wordnet_club_108227214 11791
Steven_Weinberg	wikicat_Jewish_physicists 2
Port-au-Prince	wikicat_Port_cities_in_the_Caribbean 1
Edward_Witten	wikicat_20th-century_physicists 1
Ballon_d'Or_(1956–2009)	wordnet_award_106696483 34
Mike_Pollitt	wikicat_Bury_F.C._players 140
Jean-Paul_Sartre	wikicat_French_novelists 27
Raoul_Bott	wikicat_Carnegie_Mellon_University_alumni 147
Matthew_Broderick	wikicat_American_people_of_British_descent 40
S.S._Lazio	wikicat_Publicly_traded_sports_companies 112
Zlatko_Yankov	wikicat_1994_FIFA_World_Cup_players 10
Alexandre_Lopes	wikicat_FC_Spartak_Moscow_players 2071
Georg_Wilhelm_Friedrich_Hegel	wikicat_German_logicians 11
Bozhidar_Iskrenov	wikicat_PFC_Levski_Sofia_players 3
Robert_Jarni	wikicat_UEFA_Euro_1996_players 10
Dave_Mitchell_(footballer)	wikicat_Australian_expatriates_in_Turkey 1
Bridge_Boys_F.C.	wikicat_Sports_clubs_in_Nigeria 1
Syangja_District	wikicat_Districts_of_Nepal 1
FremantleMedia	wikicat_Companies_of_the_United_Kingdom 9840
Sylvia_Plath	wikicat_American_diarists 14138
Francis_Bacon	wikicat_Empiricists 52
Greenock_Morton_F.C.	wikicat_Football_clubs_in_Scotland 1
Jackass_Number_Two	wikicat_2006_films 376
Michael_Nyman	wikicat_Postmodern_composers 8142
Club_Social_y_Deportivo_Macará	wikicat_Association_football_clubs_established_in_1939 2499
Dune_(film)	wikicat_Space_adventure_films 504
